scene,keep_ratio,method,lambda,mean_psnr,mean_ssim,mean_lpips,per_pose_psnr,kept_count,mask_hash,path_use_pose_meta,path_near,path_far,path_aspect,file_size_mb,estimated_vram_mb
counter,0.5,path_aware_v5_weighted_sum,,29.71588749022704,0.9502554595470428,0.0047374789994164,"[54.40690162180769, 26.999027822890724, 26.226623367436623, 33.894228292098646, 23.48959965190759, 116.78801515639051, 35.99098466859567, 24.828890618557097, 40.69985234555111, 17.04311869391125, 19.75594137315526, 30.819620968511217, 23.60595953142491, 16.601579009610525, 24.37017768487634, 21.376238393070114, 18.05483437851875, 20.56012977637163, 40.18250618721834, 22.073593978195003, 20.790568914709006, 49.85518594959451, 24.095577918354607, 18.233353601530627, 20.14452849594603, 19.600029017228128, 20.930605499992943, 21.8862123597987, 25.885815999853143, 32.28692342970441]",611478,17c04147672255df,False,0.1,150.0,1.7777777777777777,10.746715545654297,15.746154785156252
counter,0.5,combined_0.7,0.7,30.46075370287279,0.9798775851726532,0.0018529932800447,"[33.15214864450615, 33.07590706456916, 30.902311922599512, 33.64359087499294, 30.022114376369192, 31.47257592492735, 31.527837346878208, 32.07732973626659, 32.46850959785394, 28.386124537494844, 28.618449097436496, 34.855383811763915, 30.98171337890234, 26.372722592829003, 32.91189563927814, 30.595413544857482, 26.18686223429502, 25.94842236221112, 34.706267765163695, 27.12100297461734, 27.34070652258247, 41.247853916071726, 29.0620322911972, 26.506128762200923, 29.027462185628657, 26.377448909084503, 28.034661321680375, 27.3940931660548, 31.747311511731823, 32.05832907213869]",611478,cad881d7255b044e,False,0.1,150.0,1.7777777777777777,10.746715545654297,15.746154785156252
counter,0.5,raster_importance,,39.55300685650236,0.9948688129583996,0.0005113901747487,"[45.32831604787988, 33.031285914210656, 31.717484249100085, 41.63191781184385, 28.734539044276154, 39.115415316634305, 37.96125387138424, 36.249403681954576, 45.38135868622264, 27.677542163039398, 40.78761307106407, 49.60393557690348, 40.90191965256417, 26.651374809036675, 46.930960586389396, 35.62423510098361, 30.380250061361377, 31.735682050532436, 49.096300482718604, 45.38004633173085, 44.741725952746464, 55.037913125678564, 46.48902381235832, 37.37739036123334, 41.06978093269915, 39.399089551914564, 37.52281528353416, 39.64879596849951, 47.04611744848844, 34.33671874808758]",611478,e441f5d7a4ca994f,False,0.1,150.0,1.7777777777777777,10.746715545654297,15.746154785156252
counter,0.5,random,,24.135058872584334,0.90114453236262,0.0060411651579973,"[22.561607381118613, 25.21378740429233, 23.68330367356146, 23.263397848696616, 28.611771569012646, 22.62794632074989, 23.129218037453597, 24.81551845665209, 25.4570079709781, 20.840698008193105, 21.70747255298619, 27.908273980591424, 23.610513042384724, 22.234040193617226, 25.139744470717464, 24.441665574131292, 21.677307629073447, 21.900316357166787, 25.01397479909981, 23.236824747452673, 25.03220903455977, 29.055176065703282, 23.000872342136756, 24.04509557454322, 25.6912019402284, 24.059253753597165, 25.763803000049485, 23.037275640937537, 24.917348254264358, 22.375140553580515]",611478,9d4c3b2c582f5b4c,False,0.1,150.0,1.7777777777777777,10.746715545654297,15.746154785156252
truck,0.5,visibility,,20.294837245255607,0.875968748703599,0.0095749952306505,"[20.760634012972695, 19.859651753221453, 18.84448851228328, 17.28357839988719, 17.37157869409362, 19.490709880362328, 17.922366160528814, 18.897667551808386, 18.652122597482897, 22.740956208179707, 22.892605756833497, 20.49639052060535, 20.655371581613228, 22.21276144070757, 22.092191956783278, 22.336959725333983, 21.686574512693166, 19.6036102952038, 16.771028099347394, 19.53336401077223, 19.892086932919682, 21.97207221722952, 23.296042301872983, 22.78685189559253, 21.781734851860705, 21.182280109801912, 18.59103550219126, 18.967476587696762, 19.050502218763924, 19.299712546337908, 20.69003300656537, 21.82035200663306]",1270613,627015b61742ce87,False,0.1,150.0,1.7777777777777777,22.0615177154541,32.76287841796875
truck,0.5,path_aware_v5_pure_sum,,28.25131256466254,0.9729027599096298,0.002459598016685,"[27.003163454303156, 27.455304222219297, 27.664061613746227, 22.36153537697223, 24.041664447111813, 28.13062684984169, 23.39444255425694, 28.29002321941923, 25.1110249261548, 33.09754603960536, 29.60900114328787, 25.50717621435311, 25.627050030534548, 26.333508233771973, 25.680256513412125, 26.644738626507273, 27.160841004865006, 27.23253180554023, 21.536517258422343, 33.511496423977, 31.442397308904113, 31.680624975822308, 29.748392821777465, 28.218787008890768, 34.374951263084185, 27.280044384610598, 28.157196990620065, 37.342120151486895, 29.17535367699356, 31.344925121992034, 31.810800943795403, 28.073897462921682]",1270613,90613aab19e92ff1,False,0.1,150.0,1.7777777777777777,22.0615177154541,32.76287841796875
truck,0.5,path_aware_v5_linear_falloff,,28.19851164949283,0.9723843317478896,0.002505061528609,"[27.139579344234072, 27.281482336682174, 27.056376806082866, 22.083691690239043, 23.81574169425814, 27.62330069341338, 23.08582855300674, 27.97195741376658, 24.844544992670556, 32.84131766414657, 29.502035015094318, 25.306710040952765, 25.92334619345195, 26.780700337206188, 26.50138656880837, 27.25771750213452, 27.372744878844806, 27.490712636735594, 21.227760571326975, 33.14105541145424, 31.28220541438423, 31.502768093481173, 30.204503472388478, 28.972485704530232, 34.53356502714372, 27.349624383267738, 27.45378931652666, 36.95048537491827, 28.770003853976057, 31.136313433550047, 31.583581044461354, 28.36505732063265]",1270613,544358e575eb855e,False,0.1,150.0,1.7777777777777777,22.0615177154541,32.76287841796875
truck,0.5,path_aware_v5_sqrt_clamp,,28.29552491329452,0.972397305071354,0.0024775665906418,"[27.309772626269854, 27.35931550051424, 27.005604471497044, 22.06346017938458, 23.80974611057285, 27.566078147778406, 23.067331123316762, 27.968079513929744, 24.868576370142023, 32.87763624364436, 29.63272089409984, 25.349197604638682, 26.16794184279754, 27.098823665287814, 26.999881584637638, 27.62799863591976, 27.59250933368044, 27.70311650774758, 21.215749171672545, 33.01009047905562, 31.252978180921215, 31.548673629807887, 30.49647532741496, 29.482641362655365, 34.5597658738928, 27.505157199013773, 27.37062095960149, 36.745008303487296, 28.763711675253383, 31.227598162887244, 31.642386988133417, 28.5681495557685]",1270613,d6d7888ddcda007e,False,0.1,150.0,1.7777777777777777,22.0615177154541,32.76287841796875
truck,0.5,path_aware_v5_weighted_sum,,20.02500883465843,0.9085521399974824,0.0118536603849861,"[13.834885677885907, 15.077114750866548, 21.747285326037243, 26.868354094283152, 26.472984736190615, 24.12398123234457, 26.982176140315378, 30.06810661499888, 18.241732386363143, 20.58529383108768, 15.845305900120813, 16.285267866725512, 13.568322177243788, 11.455904960120318, 11.55929236391465, 11.676065307077014, 14.437469379989082, 13.870762650632802, 24.81664858798797, 35.849007471088896, 25.241325032753643, 18.4090942556238, 13.678428370821955, 14.774511070092185, 24.348777018868567, 15.3424345070102, 26.026145632933474, 31.944981479907003, 28.454224185672704, 16.568407079550166, 17.810575703586323, 14.835416916975806]",1270613,12c6a6cb0caf3f87,False,0.1,150.0,1.7777777777777777,22.0615177154541,32.76287841796875
truck,0.5,combined_0.7,0.7,23.166555493521848,0.9432842191308736,0.0059434093855088,"[21.566925715581032, 21.985126163589037, 22.86865388953073, 19.809902058147017, 20.83040810345162, 23.958864758141, 20.821565746121387, 23.602090581119654, 21.716731907995968, 25.330711875113366, 22.71890227800078, 21.37936918390202, 20.505199462366427, 20.930337596719355, 19.845793576491605, 20.987743989411506, 22.073584105558687, 21.992725980927176, 18.73960037481704, 28.472153120322282, 28.404390030494106, 25.092072299304228, 23.783787906559223, 22.408667955465205, 29.670636471627418, 22.92801382732099, 23.772544382497458, 31.398500067579754, 23.65571837050933, 24.138478875901196, 24.427923671536206, 21.512651466596346]",1270613,edbf693284681cf9,False,0.1,150.0,1.7777777777777777,22.0615177154541,32.76287841796875
